year,area_code,area,identity,pay_type,pay,confidence
2006,00BK,Westminster,Full-time,Weekly,638.5,5.1
2007,00BK,Westminster,Full-time,Weekly,670.8,5.7
2008,00BK,Westminster,Full-time,Weekly,704.8,4.9
2009,00BK,Westminster,Full-time,Weekly,743.6,6.1
2010,00BK,Westminster,Full-time,Weekly,815.2,6.6
2011,00BK,Westminster,Full-time,Weekly,775.3,7.1
2012,00BK,Westminster,Full-time,Weekly,805.6,5.9
2013,00BK,Westminster,Full-time,Weekly,737.5,7.5
2014,00BK,Westminster,Full-time,Weekly,766.6,5.7
2015,00BK,Westminster,Full-time,Weekly,766.5,6.3
2016,00BK,Westminster,Full-time,Weekly,781.8,6.1
2017,00BK,Westminster,Full-time,Weekly,807.4,5.8
2018,00BK,Westminster,Full-time,Weekly,842.3,5.8
2019,00BK,Westminster,Full-time,Weekly,799.9,6.7
2002,A,North East,Full-time,Weekly,343.2,1.6
2003,A,North East,Full-time,Weekly,350.5,1.2
2004,A,North East,Full-time,Weekly,368.8,1.5
2005,A,North East,Full-time,Weekly,383.3,1.4
2006,A,North East,Full-time,Weekly,391.5,1.3
2007,A,North East,Full-time,Weekly,401,1.6
2008,A,North East,Full-time,Weekly,421.7,1.6
2009,A,North East,Full-time,Weekly,438.5,1.5
2010,A,North East,Full-time,Weekly,443.4,1.2
2011,A,North East,Full-time,Weekly,448.5,1.1
2012,A,North East,Full-time,Weekly,454.9,1.1
2013,A,North East,Full-time,Weekly,472.2,1.2
2014,A,North East,Full-time,Weekly,476.7,1.3
2015,A,North East,Full-time,Weekly,485.6,1.2
2016,A,North East,Full-time,Weekly,492.4,1.2
2017,A,North East,Full-time,Weekly,504.1,1.2
2018,A,North East,Full-time,Weekly,511.6,1.4
2019,A,North East,Full-time,Weekly,531.1,1.4
2002,B,North West,Full-time,Weekly,370.2,0.9
2003,B,North West,Full-time,Weekly,383.2,0.9
2004,B,North West,Full-time,Weekly,395,0.9
2005,B,North West,Full-time,Weekly,409.5,0.8
2006,B,North West,Full-time,Weekly,419.6,0.9
2007,B,North West,Full-time,Weekly,433.7,0.9
2008,B,North West,Full-time,Weekly,451.3,0.9
2009,B,North West,Full-time,Weekly,460,0.8
2010,B,North West,Full-time,Weekly,471,0.9
2011,B,North West,Full-time,Weekly,458.7,0.8
2012,B,North West,Full-time,Weekly,472.1,0.9
2013,B,North West,Full-time,Weekly,483.3,0.7
2014,B,North West,Full-time,Weekly,485.3,0.8
2015,B,North West,Full-time,Weekly,491.5,0.8
2016,B,North West,Full-time,Weekly,502.5,0.8
2017,B,North West,Full-time,Weekly,514.5,0.9
2018,B,North West,Full-time,Weekly,529.6,0.8
2019,B,North West,Full-time,Weekly,555.8,0.9
2002,D,Yorkshire and The Humber,Full-time,Weekly,360,0.8
2003,D,Yorkshire and The Humber,Full-time,Weekly,375.5,1
2004,D,Yorkshire and The Humber,Full-time,Weekly,391.5,1.1
2005,D,Yorkshire and The Humber,Full-time,Weekly,400,0.9
2006,D,Yorkshire and The Humber,Full-time,Weekly,412.5,1.1
2007,D,Yorkshire and The Humber,Full-time,Weekly,425.6,1
2008,D,Yorkshire and The Humber,Full-time,Weekly,444.3,1
2009,D,Yorkshire and The Humber,Full-time,Weekly,452.6,0.9
2010,D,Yorkshire and The Humber,Full-time,Weekly,462.5,0.9
2011,D,Yorkshire and The Humber,Full-time,Weekly,461.7,0.9
2012,D,Yorkshire and The Humber,Full-time,Weekly,465.2,1
2013,D,Yorkshire and The Humber,Full-time,Weekly,479.1,1
2014,D,Yorkshire and The Humber,Full-time,Weekly,479,0.9
2015,D,Yorkshire and The Humber,Full-time,Weekly,480.6,0.9
2016,D,Yorkshire and The Humber,Full-time,Weekly,498.3,0.9
2017,D,Yorkshire and The Humber,Full-time,Weekly,502.3,0.8
2018,D,Yorkshire and The Humber,Full-time,Weekly,520.9,0.9
2019,D,Yorkshire and The Humber,Full-time,Weekly,539.8,0.9
2002,E,East Midlands,Full-time,Weekly,369.6,1
2003,E,East Midlands,Full-time,Weekly,385.7,1.1
2004,E,East Midlands,Full-time,Weekly,391.6,1.2
2005,E,East Midlands,Full-time,Weekly,412.2,1.2
2006,E,East Midlands,Full-time,Weekly,423.1,1
2007,E,East Midlands,Full-time,Weekly,430,1.1
2008,E,East Midlands,Full-time,Weekly,450.2,1.1
2009,E,East Midlands,Full-time,Weekly,460.2,1
2010,E,East Midlands,Full-time,Weekly,469.8,1
2011,E,East Midlands,Full-time,Weekly,468.2,1
2012,E,East Midlands,Full-time,Weekly,476.5,1
2013,E,East Midlands,Full-time,Weekly,483,0.9
2014,E,East Midlands,Full-time,Weekly,483.7,0.9
2015,E,East Midlands,Full-time,Weekly,491,0.9
2016,E,East Midlands,Full-time,Weekly,501.5,1.1
2017,E,East Midlands,Full-time,Weekly,516.7,1.1
2018,E,East Midlands,Full-time,Weekly,529.9,1
2019,E,East Midlands,Full-time,Weekly,547.4,1
2002,F,West Midlands,Full-time,Weekly,366,0.9
2003,F,West Midlands,Full-time,Weekly,378.9,0.9
2004,F,West Midlands,Full-time,Weekly,392.9,1
2005,F,West Midlands,Full-time,Weekly,404.7,1
2006,F,West Midlands,Full-time,Weekly,416.2,1.1
2007,F,West Midlands,Full-time,Weekly,431.1,1
2008,F,West Midlands,Full-time,Weekly,449.8,1
2009,F,West Midlands,Full-time,Weekly,456.8,0.8
2010,F,West Midlands,Full-time,Weekly,469.2,0.9
2011,F,West Midlands,Full-time,Weekly,465.2,1
2012,F,West Midlands,Full-time,Weekly,469.3,1
2013,F,West Midlands,Full-time,Weekly,483,0.8
2014,F,West Midlands,Full-time,Weekly,481.2,0.7
2015,F,West Midlands,Full-time,Weekly,492.1,0.7
2016,F,West Midlands,Full-time,Weekly,507.6,1
2017,F,West Midlands,Full-time,Weekly,517.1,1
2018,F,West Midlands,Full-time,Weekly,536.6,1
2019,F,West Midlands,Full-time,Weekly,550.8,0.9
2002,G,East,Full-time,Weekly,415.9,1.1
2003,G,East,Full-time,Weekly,431.7,1
2004,G,East,Full-time,Weekly,447.6,1
2005,G,East,Full-time,Weekly,456.7,1
2006,G,East,Full-time,Weekly,466,0.9
2007,G,East,Full-time,Weekly,479.9,1
2008,G,East,Full-time,Weekly,499,1
2009,G,East,Full-time,Weekly,509.5,0.9
2010,G,East,Full-time,Weekly,523.3,0.9
2011,G,East,Full-time,Weekly,525,0.8
2012,G,East,Full-time,Weekly,531.4,0.9
2013,G,East,Full-time,Weekly,543.5,0.9
2014,G,East,Full-time,Weekly,539.1,0.9
2015,G,East,Full-time,Weekly,550.6,0.9
2016,G,East,Full-time,Weekly,569.5,0.9
2017,G,East,Full-time,Weekly,574.9,0.7
2018,G,East,Full-time,Weekly,590.3,0.9
2019,G,East,Full-time,Weekly,610.4,0.7
2002,H,London,Full-time,Weekly,479.9,0.7
2003,H,London,Full-time,Weekly,496.3,0.7
2004,H,London,Full-time,Weekly,509.8,0.8
2005,H,London,Full-time,Weekly,526.7,0.8
2006,H,London,Full-time,Weekly,537.6,0.6
2007,H,London,Full-time,Weekly,555.9,0.8
2008,H,London,Full-time,Weekly,581.5,0.7
2009,H,London,Full-time,Weekly,598.2,0.6
2010,H,London,Full-time,Weekly,606.4,0.6
2011,H,London,Full-time,Weekly,608.8,0.6
2012,H,London,Full-time,Weekly,613.3,0.6
2013,H,London,Full-time,Weekly,613.3,0.6
2014,H,London,Full-time,Weekly,617.1,0.7
2015,H,London,Full-time,Weekly,620.8,0.7
2016,H,London,Full-time,Weekly,631.8,0.7
2017,H,London,Full-time,Weekly,654.1,0.7
2018,H,London,Full-time,Weekly,670.8,0.6
2019,H,London,Full-time,Weekly,699.2,0.7
2002,J,South East,Full-time,Weekly,435.1,0.7
2003,J,South East,Full-time,Weekly,451,0.8
2004,J,South East,Full-time,Weekly,461.8,0.7
2005,J,South East,Full-time,Weekly,468.9,0.7
2006,J,South East,Full-time,Weekly,486.5,0.8
2007,J,South East,Full-time,Weekly,502.3,0.8
2008,J,South East,Full-time,Weekly,524.8,0.7
2009,J,South East,Full-time,Weekly,536.6,0.6
2010,J,South East,Full-time,Weekly,547.8,0.7
2011,J,South East,Full-time,Weekly,554.6,0.8
2012,J,South East,Full-time,Weekly,555.8,0.7
2013,J,South East,Full-time,Weekly,557.6,0.7
2014,J,South East,Full-time,Weekly,567.2,0.7
2015,J,South East,Full-time,Weekly,574.9,0.6
2016,J,South East,Full-time,Weekly,581.8,0.7
2017,J,South East,Full-time,Weekly,595.9,0.6
2018,J,South East,Full-time,Weekly,614.5,0.7
2019,J,South East,Full-time,Weekly,636,0.7
2002,K,South West,Full-time,Weekly,367.1,1.1
2003,K,South West,Full-time,Weekly,383.9,1
2004,K,South West,Full-time,Weekly,396.9,1
2005,K,South West,Full-time,Weekly,406,1.1
2006,K,South West,Full-time,Weekly,420.5,1
2007,K,South West,Full-time,Weekly,432.6,1.1
2008,K,South West,Full-time,Weekly,451.9,1.1
2009,K,South West,Full-time,Weekly,460,1
2010,K,South West,Full-time,Weekly,468.3,0.9
2011,K,South West,Full-time,Weekly,471.5,0.9
2012,K,South West,Full-time,Weekly,477.4,0.9
2013,K,South West,Full-time,Weekly,485.1,0.8
2014,K,South West,Full-time,Weekly,495.8,0.9
2015,K,South West,Full-time,Weekly,498.3,0.9
2016,K,South West,Full-time,Weekly,513.4,0.9
2017,K,South West,Full-time,Weekly,527,0.9
2018,K,South West,Full-time,Weekly,537.6,0.9
2019,K,South West,Full-time,Weekly,560.6,0.9
2002,924,Wales,Full-time,Weekly,353.5,1.5
2003,924,Wales,Full-time,Weekly,368.5,1.6
2004,924,Wales,Full-time,Weekly,382.9,1.5
2005,924,Wales,Full-time,Weekly,393.4,1.4
2006,924,Wales,Full-time,Weekly,404.2,1.5
2007,924,Wales,Full-time,Weekly,414.8,1.6
2008,924,Wales,Full-time,Weekly,424.8,1.5
2009,924,Wales,Full-time,Weekly,444.6,1.3
2010,924,Wales,Full-time,Weekly,456.2,1.4
2011,924,Wales,Full-time,Weekly,455.1,1.2
2012,924,Wales,Full-time,Weekly,454.9,1.3
2013,924,Wales,Full-time,Weekly,475.3,1.2
2014,924,Wales,Full-time,Weekly,480,1.3
2015,924,Wales,Full-time,Weekly,487.6,1.3
2016,924,Wales,Full-time,Weekly,499.2,1.2
2017,924,Wales,Full-time,Weekly,505.7,1.2
2018,924,Wales,Full-time,Weekly,518.6,1.2
2019,924,Wales,Full-time,Weekly,540.7,1.3
2002,923,Scotland,Full-time,Weekly,369.3,1
2003,923,Scotland,Full-time,Weekly,381.8,1
2004,923,Scotland,Full-time,Weekly,390.6,1.1
2005,923,Scotland,Full-time,Weekly,409.8,1.1
2006,923,Scotland,Full-time,Weekly,427.9,0.9
2007,923,Scotland,Full-time,Weekly,440.9,1.1
2008,923,Scotland,Full-time,Weekly,462.9,1.1
2009,923,Scotland,Full-time,Weekly,471.2,0.9
2010,923,Scotland,Full-time,Weekly,486.6,0.8
2011,923,Scotland,Full-time,Weekly,487.2,0.8
2012,923,Scotland,Full-time,Weekly,498.3,0.8
2013,923,Scotland,Full-time,Weekly,507.9,1
2014,923,Scotland,Full-time,Weekly,518.6,0.9
2015,923,Scotland,Full-time,Weekly,527,0.9
2016,923,Scotland,Full-time,Weekly,536,0.8
2017,923,Scotland,Full-time,Weekly,547.4,0.8
2018,923,Scotland,Full-time,Weekly,562.7,0.8
2019,923,Scotland,Full-time,Weekly,577.7,0.7
2002,922,Northern Ireland,Full-time,Weekly,342,1.9
2003,922,Northern Ireland,Full-time,Weekly,352,1.9
2004,922,Northern Ireland,Full-time,Weekly,372.6,2
2005,922,Northern Ireland,Full-time,Weekly,385.2,1.8
2006,922,Northern Ireland,Full-time,Weekly,402.5,1.8
2007,922,Northern Ireland,Full-time,Weekly,400.5,1.6
2008,922,Northern Ireland,Full-time,Weekly,417.6,1.7
2009,922,Northern Ireland,Full-time,Weekly,436.6,1.9
2010,922,Northern Ireland,Full-time,Weekly,437.6,2
2011,922,Northern Ireland,Full-time,Weekly,445.1,1.7
2012,922,Northern Ireland,Full-time,Weekly,458.4,1.8
2013,922,Northern Ireland,Full-time,Weekly,464.4,1.5
2014,922,Northern Ireland,Full-time,Weekly,460,1.6
2015,922,Northern Ireland,Full-time,Weekly,484.4,1.5
2016,922,Northern Ireland,Full-time,Weekly,493.7,1.5
2017,922,Northern Ireland,Full-time,Weekly,500,1.5
2018,922,Northern Ireland,Full-time,Weekly,523.3,1.4
2019,922,Northern Ireland,Full-time,Weekly,535.1,1.4
2002,941,England and Wales,Full-time,Weekly,394.8,0.3
2003,941,England and Wales,Full-time,Weekly,408.8,0.3
2004,941,England and Wales,Full-time,Weekly,423.2,0.2
2005,941,England and Wales,Full-time,Weekly,435.2,0.3
2006,941,England and Wales,Full-time,Weekly,448.2,0.3
2007,941,England and Wales,Full-time,Weekly,460.3,0.2
2008,941,England and Wales,Full-time,Weekly,481.7,0.3
2009,941,England and Wales,Full-time,Weekly,492.7,0.3
2010,941,England and Wales,Full-time,Weekly,503.6,0.2
2011,941,England and Wales,Full-time,Weekly,502.1,0.2
2012,941,England and Wales,Full-time,Weekly,509.3,0.3
2013,941,England and Wales,Full-time,Weekly,518.4,0.2
2014,941,England and Wales,Full-time,Weekly,521.3,0.3
2015,941,England and Wales,Full-time,Weekly,529.2,0.2
2016,941,England and Wales,Full-time,Weekly,541.7,0.3
2017,941,England and Wales,Full-time,Weekly,552.8,0.3
2018,941,England and Wales,Full-time,Weekly,572,0.3
2019,941,England and Wales,Full-time,Weekly,588.5,0.3
2002,926,United Kingdom,Full-time,Weekly,390.9,0.3
2003,926,United Kingdom,Full-time,Weekly,404,0.2
2004,926,United Kingdom,Full-time,Weekly,419.2,0.3
2005,926,United Kingdom,Full-time,Weekly,431.2,0.2
2006,926,United Kingdom,Full-time,Weekly,443.6,0.2
2007,926,United Kingdom,Full-time,Weekly,457.6,0.3
2008,926,United Kingdom,Full-time,Weekly,479.1,0.1
2009,926,United Kingdom,Full-time,Weekly,488.5,0.2
2010,926,United Kingdom,Full-time,Weekly,498.5,0.2
2011,926,United Kingdom,Full-time,Weekly,498.3,0.1
2012,926,United Kingdom,Full-time,Weekly,506.1,0.2
2013,926,United Kingdom,Full-time,Weekly,517.4,0.2
2014,926,United Kingdom,Full-time,Weekly,518.3,0.2
2015,926,United Kingdom,Full-time,Weekly,527.1,0.2
2016,926,United Kingdom,Full-time,Weekly,538.6,0.2
2017,926,United Kingdom,Full-time,Weekly,550,0.2
2018,926,United Kingdom,Full-time,Weekly,569,0.2
2019,926,United Kingdom,Full-time,Weekly,584.9,0.2
2002,00AA,City of London,Male,Hourly,,
2003,00AA,City of London,Male,Hourly,,
2004,00AA,City of London,Male,Hourly,,
2005,00AA,City of London,Male,Hourly,,
2006,00AA,City of London,Male,Hourly,,
2007,00AA,City of London,Male,Hourly,,
2008,00AA,City of London,Male,Hourly,,
2009,00AA,City of London,Male,Hourly,26.72,19
2010,00AA,City of London,Male,Hourly,,
2011,00AA,City of London,Male,Hourly,,
2012,00AA,City of London,Male,Hourly,,
2013,00AA,City of London,Male,Hourly,,
2014,00AA,City of London,Male,Hourly,,
2015,00AA,City of London,Male,Hourly,,
2016,00AA,City of London,Male,Hourly,,
2017,00AA,City of London,Male,Hourly,,
2018,00AA,City of London,Male,Hourly,,
2019,00AA,City of London,Male,Hourly,,
2002,00AB,Barking and Dagenham,Male,Hourly,11.5,4.8
2003,00AB,Barking and Dagenham,Male,Hourly,10.71,6.3
2004,00AB,Barking and Dagenham,Male,Hourly,10.65,6.7
2005,00AB,Barking and Dagenham,Male,Hourly,10.52,6
2006,00AB,Barking and Dagenham,Male,Hourly,11.98,5.5
2007,00AB,Barking and Dagenham,Male,Hourly,12.25,6.5
2008,00AB,Barking and Dagenham,Male,Hourly,12.48,7
2009,00AB,Barking and Dagenham,Male,Hourly,13.53,6.7
2010,00AB,Barking and Dagenham,Male,Hourly,12.93,6.4
2011,00AB,Barking and Dagenham,Male,Hourly,12.8,5.6
2012,00AB,Barking and Dagenham,Male,Hourly,12.6,6.5
2013,00AB,Barking and Dagenham,Male,Hourly,12.76,6.1
2014,00AB,Barking and Dagenham,Male,Hourly,12.83,5.6
2015,00AB,Barking and Dagenham,Male,Hourly,12.74,5.6
2016,00AB,Barking and Dagenham,Male,Hourly,12.29,6.1
2017,00AB,Barking and Dagenham,Male,Hourly,12.98,6.9
2018,00AB,Barking and Dagenham,Male,Hourly,13.2,6.5
2019,00AB,Barking and Dagenham,Male,Hourly,14.78,6.9
2002,00AC,Barnet,Male,Hourly,13.5,7.2
2003,00AC,Barnet,Male,Hourly,14.8,8.2
2004,00AC,Barnet,Male,Hourly,15,8.7
2005,00AC,Barnet,Male,Hourly,15.4,7.6
2006,00AC,Barnet,Male,Hourly,14.1,8.3
2007,00AC,Barnet,Male,Hourly,14.9,11
2008,00AC,Barnet,Male,Hourly,15.76,8.1
2009,00AC,Barnet,Male,Hourly,16.33,6
2010,00AC,Barnet,Male,Hourly,17.47,7.7
2011,00AC,Barnet,Male,Hourly,16.47,6.4
2012,00AC,Barnet,Male,Hourly,15.58,7
2013,00AC,Barnet,Male,Hourly,16.59,7.3
2014,00AC,Barnet,Male,Hourly,16.23,8
2015,00AC,Barnet,Male,Hourly,16.63,7.8
2016,00AC,Barnet,Male,Hourly,15.13,6.9
2017,00AC,Barnet,Male,Hourly,16.76,9.8
2018,00AC,Barnet,Male,Hourly,17.02,9.7
2019,00AC,Barnet,Male,Hourly,17.04,8.2
2002,00AD,Bexley,Male,Hourly,12.1,6.1
2003,00AD,Bexley,Male,Hourly,13.5,7
2004,00AD,Bexley,Male,Hourly,13.2,6.1
2005,00AD,Bexley,Male,Hourly,14.5,6.2
2006,00AD,Bexley,Male,Hourly,14.3,6.7
2007,00AD,Bexley,Male,Hourly,14.4,8.4
2008,00AD,Bexley,Male,Hourly,16.2,6.8
2009,00AD,Bexley,Male,Hourly,15.04,5.6
2010,00AD,Bexley,Male,Hourly,15.2,5.4
2011,00AD,Bexley,Male,Hourly,15.74,5.7
2012,00AD,Bexley,Male,Hourly,15.62,4.9
2013,00AD,Bexley,Male,Hourly,15.32,6.6
2014,00AD,Bexley,Male,Hourly,15.43,6.7
2015,00AD,Bexley,Male,Hourly,15.55,6.4
2016,00AD,Bexley,Male,Hourly,17.11,7.6
2017,00AD,Bexley,Male,Hourly,16.39,7.6
2018,00AD,Bexley,Male,Hourly,16.79,7.5
2019,00AD,Bexley,Male,Hourly,16.95,6.9
2002,00AE,Brent,Male,Hourly,10,7
2003,00AE,Brent,Male,Hourly,9.6,5.9
2004,00AE,Brent,Male,Hourly,10.3,6
2005,00AE,Brent,Male,Hourly,10.8,6.2
2006,00AE,Brent,Male,Hourly,11,5.1
2007,00AE,Brent,Male,Hourly,11,5.2
2008,00AE,Brent,Male,Hourly,11.27,6
2009,00AE,Brent,Male,Hourly,11.71,5.4
2010,00AE,Brent,Male,Hourly,11.28,6.8
2011,00AE,Brent,Male,Hourly,11.7,5.7
2012,00AE,Brent,Male,Hourly,12.02,6.1
2013,00AE,Brent,Male,Hourly,12.09,7.1
2014,00AE,Brent,Male,Hourly,12.56,8.4
2015,00AE,Brent,Male,Hourly,12.33,8.1
2016,00AE,Brent,Male,Hourly,12.9,5.6
2017,00AE,Brent,Male,Hourly,12.97,5.3
2018,00AE,Brent,Male,Hourly,13.64,6
2019,00AE,Brent,Male,Hourly,14.75,5.7
2002,00AF,Bromley,Male,Hourly,14.8,7.6
2003,00AF,Bromley,Male,Hourly,15.9,5.9
2004,00AF,Bromley,Male,Hourly,15.5,7.8
2005,00AF,Bromley,Male,Hourly,16.1,6.2
2006,00AF,Bromley,Male,Hourly,16.7,6.4
2007,00AF,Bromley,Male,Hourly,16.3,6.6
2008,00AF,Bromley,Male,Hourly,17.36,6
2009,00AF,Bromley,Male,Hourly,17.98,4.8
2010,00AF,Bromley,Male,Hourly,17.79,5.5
2011,00AF,Bromley,Male,Hourly,18.11,5.2
2012,00AF,Bromley,Male,Hourly,18.7,5.8
2013,00AF,Bromley,Male,Hourly,18.39,6.3
2014,00AF,Bromley,Male,Hourly,19.16,5.8
2015,00AF,Bromley,Male,Hourly,18.06,6.6
2016,00AF,Bromley,Male,Hourly,18.83,5.5
2017,00AF,Bromley,Male,Hourly,19.97,6.1
2018,00AF,Bromley,Male,Hourly,20.52,5.6
2019,00AF,Bromley,Male,Hourly,20.89,5.4
2002,00AG,Camden,Male,Hourly,14.8,11
2003,00AG,Camden,Male,Hourly,15.7,14
2004,00AG,Camden,Male,Hourly,14,9.8
2005,00AG,Camden,Male,Hourly,15.8,9.6
2006,00AG,Camden,Male,Hourly,17.6,7.7
2007,00AG,Camden,Male,Hourly,17.8,11
2008,00AG,Camden,Male,Hourly,18.69,10
2009,00AG,Camden,Male,Hourly,19.32,8.6
2010,00AG,Camden,Male,Hourly,18.14,10
2011,00AG,Camden,Male,Hourly,18.48,8.3
2012,00AG,Camden,Male,Hourly,19.18,7.1
2013,00AG,Camden,Male,Hourly,19.91,6.2
2014,00AG,Camden,Male,Hourly,19.52,8.1
2015,00AG,Camden,Male,Hourly,18.33,10
2016,00AG,Camden,Male,Hourly,19.21,8.5
2017,00AG,Camden,Male,Hourly,19.41,8.1
2018,00AG,Camden,Male,Hourly,20.59,6.8
2019,00AG,Camden,Male,Hourly,20.4,8.2
2002,00AH,Croydon,Male,Hourly,11.57,6.9
2003,00AH,Croydon,Male,Hourly,12.31,6.2
2004,00AH,Croydon,Male,Hourly,12.34,6.2
2005,00AH,Croydon,Male,Hourly,12.88,6.2
2006,00AH,Croydon,Male,Hourly,13.17,5.6
2007,00AH,Croydon,Male,Hourly,13.11,6.2
2008,00AH,Croydon,Male,Hourly,13.74,5.8
2009,00AH,Croydon,Male,Hourly,14.53,4.4
2010,00AH,Croydon,Male,Hourly,14.85,5.2
2011,00AH,Croydon,Male,Hourly,14.37,5.7
2012,00AH,Croydon,Male,Hourly,14.5,4.9
2013,00AH,Croydon,Male,Hourly,14.73,5.5
2014,00AH,Croydon,Male,Hourly,14.23,4.7
2015,00AH,Croydon,Male,Hourly,14.42,5.1
2016,00AH,Croydon,Male,Hourly,14.98,5.5
2017,00AH,Croydon,Male,Hourly,15.66,5.9
2018,00AH,Croydon,Male,Hourly,15.98,5
2019,00AH,Croydon,Male,Hourly,16.4,5.9
2002,00AJ,Ealing,Male,Hourly,12.1,6.8
2003,00AJ,Ealing,Male,Hourly,12.8,6.3
2004,00AJ,Ealing,Male,Hourly,12.3,5.7
2005,00AJ,Ealing,Male,Hourly,12.8,5.5
2006,00AJ,Ealing,Male,Hourly,13.2,5
2007,00AJ,Ealing,Male,Hourly,13.5,6.7
2008,00AJ,Ealing,Male,Hourly,14.5,7.4
2009,00AJ,Ealing,Male,Hourly,13.58,5.1
2010,00AJ,Ealing,Male,Hourly,14.12,5.2
2011,00AJ,Ealing,Male,Hourly,14.04,5.5
2012,00AJ,Ealing,Male,Hourly,13.44,5.8
2013,00AJ,Ealing,Male,Hourly,14.35,5
2014,00AJ,Ealing,Male,Hourly,13.69,5.2
2015,00AJ,Ealing,Male,Hourly,13.73,4.2
2016,00AJ,Ealing,Male,Hourly,13.98,5.4
2017,00AJ,Ealing,Male,Hourly,14.3,4.7
2018,00AJ,Ealing,Male,Hourly,15.23,6.5
2019,00AJ,Ealing,Male,Hourly,15.29,4.5
2002,00AK,Enfield,Male,Hourly,11.1,6.7
2003,00AK,Enfield,Male,Hourly,11.6,6.6
2004,00AK,Enfield,Male,Hourly,11.6,7.4
2005,00AK,Enfield,Male,Hourly,12.8,7.6
2006,00AK,Enfield,Male,Hourly,12.1,6.6
2007,00AK,Enfield,Male,Hourly,12.9,5.7
2008,00AK,Enfield,Male,Hourly,12.5,6
2009,00AK,Enfield,Male,Hourly,13.22,5.9
2010,00AK,Enfield,Male,Hourly,12.88,5.8
2011,00AK,Enfield,Male,Hourly,13.49,4.6
2012,00AK,Enfield,Male,Hourly,13.12,6.4
2013,00AK,Enfield,Male,Hourly,13.05,5.1
2014,00AK,Enfield,Male,Hourly,13.25,5.9
2015,00AK,Enfield,Male,Hourly,13.39,6.4
2016,00AK,Enfield,Male,Hourly,12.91,6
2017,00AK,Enfield,Male,Hourly,14.37,6.2
2018,00AK,Enfield,Male,Hourly,13.59,5.7
2019,00AK,Enfield,Male,Hourly,14.02,7.9
2002,00AL,Greenwich,Male,Hourly,12.2,8.4
2003,00AL,Greenwich,Male,Hourly,13.2,6.2
2004,00AL,Greenwich,Male,Hourly,13.1,5.6
2005,00AL,Greenwich,Male,Hourly,12.7,7
2006,00AL,Greenwich,Male,Hourly,13,6.5
2007,00AL,Greenwich,Male,Hourly,13.5,7.5
2008,00AL,Greenwich,Male,Hourly,15.34,7.3
2009,00AL,Greenwich,Male,Hourly,15.27,5.6
2010,00AL,Greenwich,Male,Hourly,14.41,6.6
2011,00AL,Greenwich,Male,Hourly,14.8,7.2
2012,00AL,Greenwich,Male,Hourly,14.86,7.1
2013,00AL,Greenwich,Male,Hourly,15.01,5.8
2014,00AL,Greenwich,Male,Hourly,15.18,5.5
2015,00AL,Greenwich,Male,Hourly,16.14,5.2
2016,00AL,Greenwich,Male,Hourly,15.89,6
2017,00AL,Greenwich,Male,Hourly,16.04,5.2
2018,00AL,Greenwich,Male,Hourly,16.89,5.4
2019,00AL,Greenwich,Male,Hourly,17.17,6.8
2002,00AM,Hackney,Male,Hourly,10.6,9.5
2003,00AM,Hackney,Male,Hourly,10.5,9
2004,00AM,Hackney,Male,Hourly,10.8,9.1
2005,00AM,Hackney,Male,Hourly,11.9,8.2
2006,00AM,Hackney,Male,Hourly,11.7,7.1
2007,00AM,Hackney,Male,Hourly,12,8.4
2008,00AM,Hackney,Male,Hourly,12.8,8.7
2009,00AM,Hackney,Male,Hourly,14.1,7
2010,00AM,Hackney,Male,Hourly,14.48,8.6
2011,00AM,Hackney,Male,Hourly,15.03,7.6
2012,00AM,Hackney,Male,Hourly,14.29,6.3
2013,00AM,Hackney,Male,Hourly,14.16,6.2
2014,00AM,Hackney,Male,Hourly,14.1,6.5
2015,00AM,Hackney,Male,Hourly,14.88,5.1
2016,00AM,Hackney,Male,Hourly,14.02,6.3
2017,00AM,Hackney,Male,Hourly,15.42,5.6
2018,00AM,Hackney,Male,Hourly,15.8,7.1
2019,00AM,Hackney,Male,Hourly,16.75,8
2002,00AN,Hammersmith and Fulham,Male,Hourly,16,9.9
2003,00AN,Hammersmith and Fulham,Male,Hourly,13.8,9.7
2004,00AN,Hammersmith and Fulham,Male,Hourly,14.4,12
2005,00AN,Hammersmith and Fulham,Male,Hourly,14,9.6
2006,00AN,Hammersmith and Fulham,Male,Hourly,16.4,8.6
2007,00AN,Hammersmith and Fulham,Male,Hourly,16.5,12
2008,00AN,Hammersmith and Fulham,Male,Hourly,17.72,10
2009,00AN,Hammersmith and Fulham,Male,Hourly,17.4,10
2010,00AN,Hammersmith and Fulham,Male,Hourly,16.62,12
2011,00AN,Hammersmith and Fulham,Male,Hourly,17.58,8.2
2012,00AN,Hammersmith and Fulham,Male,Hourly,17.01,8.8
2013,00AN,Hammersmith and Fulham,Male,Hourly,18.24,8.4
2014,00AN,Hammersmith and Fulham,Male,Hourly,17.76,6.5
2015,00AN,Hammersmith and Fulham,Male,Hourly,18.83,9.1
2016,00AN,Hammersmith and Fulham,Male,Hourly,19.46,8.7
2017,00AN,Hammersmith and Fulham,Male,Hourly,19.17,5.7
2018,00AN,Hammersmith and Fulham,Male,Hourly,19.93,5
2019,00AN,Hammersmith and Fulham,Male,Hourly,21.9,6.8
2002,00AP,Haringey,Male,Hourly,10.5,8.4
2003,00AP,Haringey,Male,Hourly,11.8,8.4
