year,area_code,area,identity,pay_type,pay,confidence
2013,00AK,Enfield,Female,Hourly,12.23,6.6
2014,00AK,Enfield,Female,Hourly,12.05,5.4
2015,00AK,Enfield,Female,Hourly,12.65,5.9
2016,00AK,Enfield,Female,Hourly,12.51,6.2
2017,00AK,Enfield,Female,Hourly,12.86,4.6
2018,00AK,Enfield,Female,Hourly,12.66,5.2
2019,00AK,Enfield,Female,Hourly,12.78,4.8
2002,00AL,Greenwich,Female,Hourly,10.6,6.6
2003,00AL,Greenwich,Female,Hourly,10.8,7.5
2004,00AL,Greenwich,Female,Hourly,11.1,8.1
2005,00AL,Greenwich,Female,Hourly,11.5,5.6
2006,00AL,Greenwich,Female,Hourly,12,6.3
2007,00AL,Greenwich,Female,Hourly,11.4,7.4
2008,00AL,Greenwich,Female,Hourly,11.58,7.4
2009,00AL,Greenwich,Female,Hourly,13.03,6.3
2010,00AL,Greenwich,Female,Hourly,12.96,5.3
2011,00AL,Greenwich,Female,Hourly,12.8,6.5
2012,00AL,Greenwich,Female,Hourly,12.1,6.8
2013,00AL,Greenwich,Female,Hourly,13.07,6.3
2014,00AL,Greenwich,Female,Hourly,12.87,5.9
2015,00AL,Greenwich,Female,Hourly,12.72,6.6
2016,00AL,Greenwich,Female,Hourly,13.78,6
2017,00AL,Greenwich,Female,Hourly,14.3,7.3
2018,00AL,Greenwich,Female,Hourly,13.87,6.6
2019,00AL,Greenwich,Female,Hourly,15.11,6.5
2002,00AM,Hackney,Female,Hourly,11.3,8.5
2003,00AM,Hackney,Female,Hourly,11,8.5
2004,00AM,Hackney,Female,Hourly,11.3,8.4
2005,00AM,Hackney,Female,Hourly,12.8,8.2
2006,00AM,Hackney,Female,Hourly,11.7,6.9
2007,00AM,Hackney,Female,Hourly,12.5,8.8
2008,00AM,Hackney,Female,Hourly,12.93,8.2
2009,00AM,Hackney,Female,Hourly,13.33,5.9
2010,00AM,Hackney,Female,Hourly,13.67,5.8
2011,00AM,Hackney,Female,Hourly,13.79,5.6
2012,00AM,Hackney,Female,Hourly,13.99,6.6
2013,00AM,Hackney,Female,Hourly,14.41,5.8
2014,00AM,Hackney,Female,Hourly,14.76,6
2015,00AM,Hackney,Female,Hourly,14.32,4.6
2016,00AM,Hackney,Female,Hourly,14.79,4.5
2017,00AM,Hackney,Female,Hourly,15.21,4.4
2018,00AM,Hackney,Female,Hourly,15.63,5.8
2019,00AM,Hackney,Female,Hourly,15.93,5.2
2002,00AN,Hammersmith and Fulham,Female,Hourly,12.1,7.6
2003,00AN,Hammersmith and Fulham,Female,Hourly,13.2,7.1
2004,00AN,Hammersmith and Fulham,Female,Hourly,13.8,6.8
2005,00AN,Hammersmith and Fulham,Female,Hourly,13.1,6.9
2006,00AN,Hammersmith and Fulham,Female,Hourly,14.8,5.3
2007,00AN,Hammersmith and Fulham,Female,Hourly,14.7,7.3
2008,00AN,Hammersmith and Fulham,Female,Hourly,15.11,7.6
2009,00AN,Hammersmith and Fulham,Female,Hourly,14.9,7.4
2010,00AN,Hammersmith and Fulham,Female,Hourly,16.12,4.7
2011,00AN,Hammersmith and Fulham,Female,Hourly,14.58,7.7
2012,00AN,Hammersmith and Fulham,Female,Hourly,16.09,7.7
2013,00AN,Hammersmith and Fulham,Female,Hourly,15.16,5.8
2014,00AN,Hammersmith and Fulham,Female,Hourly,15.48,7.3
2015,00AN,Hammersmith and Fulham,Female,Hourly,16.83,6.3
2016,00AN,Hammersmith and Fulham,Female,Hourly,16.3,6
2017,00AN,Hammersmith and Fulham,Female,Hourly,16.47,6.1
2018,00AN,Hammersmith and Fulham,Female,Hourly,16.82,6.4
2019,00AN,Hammersmith and Fulham,Female,Hourly,17.15,5.3
2002,00AP,Haringey,Female,Hourly,10.8,8.7
2003,00AP,Haringey,Female,Hourly,12.2,5.7
2004,00AP,Haringey,Female,Hourly,11.8,8.1
2005,00AP,Haringey,Female,Hourly,11.5,6.8
2006,00AP,Haringey,Female,Hourly,12.4,7.5
2007,00AP,Haringey,Female,Hourly,13,7.7
2008,00AP,Haringey,Female,Hourly,13.2,6
2009,00AP,Haringey,Female,Hourly,13.75,5.2
2010,00AP,Haringey,Female,Hourly,13.68,5.7
2011,00AP,Haringey,Female,Hourly,12.97,7
2012,00AP,Haringey,Female,Hourly,13.17,7.7
2013,00AP,Haringey,Female,Hourly,13.42,6.4
2014,00AP,Haringey,Female,Hourly,13.17,9
2015,00AP,Haringey,Female,Hourly,12.82,6.6
2016,00AP,Haringey,Female,Hourly,13.29,6
