year,area_code,area,sports_participation,percentage,population
2012-2013,00AU,Islington,zero,0.391,69300
2013-2014,00AU,Islington,zero,0.395,71700
2014-2015,00AU,Islington,zero,0.437,81300
2015-2016,00AU,Islington,zero,0.456,87400
2005-2006,00AW,Kensington And Chelsea,zero,0.445,74500
2007-2008,00AW,Kensington And Chelsea,zero,0.401,60500
2008-2009,00AW,Kensington And Chelsea,zero,0.42,64000
2009-2010,00AW,Kensington And Chelsea,zero,0.414,59000
2010-2011,00AW,Kensington And Chelsea,zero,0.444,62900
2011-2012,00AW,Kensington And Chelsea,zero,0.424,56600
2012-2013,00AW,Kensington And Chelsea,zero,0.44,57800
2013-2014,00AW,Kensington And Chelsea,zero,0.507,66400
2014-2015,00AW,Kensington And Chelsea,zero,0.465,60900
2015-2016,00AW,Kensington And Chelsea,zero,0.428,56600
2005-2006,00AX,Kingston Upon Thames,zero,0.473,59200
2007-2008,00AX,Kingston Upon Thames,zero,0.45,58100
2008-2009,00AX,Kingston Upon Thames,zero,0.429,56200
2009-2010,00AX,Kingston Upon Thames,zero,0.436,59600
2010-2011,00AX,Kingston Upon Thames,zero,0.418,57800
2011-2012,00AX,Kingston Upon Thames,zero,0.484,62800
2012-2013,00AX,Kingston Upon Thames,zero,0.44,58400
2013-2014,00AX,Kingston Upon Thames,zero,0.49,66100
2014-2015,00AX,Kingston Upon Thames,zero,0.481,65800
2015-2016,00AX,Kingston Upon Thames,zero,0.435,60800
2005-2006,00AY,Lambeth,zero,0.492,108100
2007-2008,00AY,Lambeth,zero,0.467,104900
2008-2009,00AY,Lambeth,zero,0.438,98900
2009-2010,00AY,Lambeth,zero,0.455,106500
2010-2011,00AY,Lambeth,zero,0.422,99000
2011-2012,00AY,Lambeth,zero,0.436,108700
2012-2013,00AY,Lambeth,zero,0.449,114400
2013-2014,00AY,Lambeth,zero,0.423,109400
2014-2015,00AY,Lambeth,zero,0.448,117400
2015-2016,00AY,Lambeth,zero,0.443,118800
2005-2006,00AZ,Lewisham,zero,0.541,106600
2007-2008,00AZ,Lewisham,zero,0.474,98400
2008-2009,00AZ,Lewisham,zero,0.535,112200
2009-2010,00AZ,Lewisham,zero,0.494,104600
2010-2011,00AZ,Lewisham,zero,0.551,117100
2011-2012,00AZ,Lewisham,zero,0.491,107800
2012-2013,00AZ,Lewisham,zero,0.472,105400
2013-2014,00AZ,Lewisham,zero,0.558,126700
2014-2015,00AZ,Lewisham,zero,0.546,126400
2015-2016,00AZ,Lewisham,zero,0.52,123000
2005-2006,00BA,Merton,zero,0.504,79900
2007-2008,00BA,Merton,zero,0.488,79400
2008-2009,00BA,Merton,zero,0.469,77000
2009-2010,00BA,Merton,zero,0.499,84100
2010-2011,00BA,Merton,zero,0.522,88700
2011-2012,00BA,Merton,zero,0.513,82700
2012-2013,00BA,Merton,zero,0.447,72400
2013-2014,00BA,Merton,zero,0.477,77600
2014-2015,00BA,Merton,zero,0.456,74000
2015-2016,00BA,Merton,zero,0.475,77400
2005-2006,00BB,Newham,zero,0.633,118000
2007-2008,00BB,Newham,zero,0.6,114500
2008-2009,00BB,Newham,zero,0.588,111600
2009-2010,00BB,Newham,zero,0.614,111300
2010-2011,00BB,Newham,zero,0.589,105900
2011-2012,00BB,Newham,zero,0.604,145100
2012-2013,00BB,Newham,zero,0.625,151500
2013-2014,00BB,Newham,zero,0.606,148900
2014-2015,00BB,Newham,zero,0.624,156000
2015-2016,00BB,Newham,zero,0.593,152800
2005-2006,00BC,Redbridge,zero,0.54,106900
2007-2008,00BC,Redbridge,zero,0.508,101300
2008-2009,00BC,Redbridge,zero,0.544,109600
2009-2010,00BC,Redbridge,zero,0.538,113000
2010-2011,00BC,Redbridge,zero,0.569,120400
2011-2012,00BC,Redbridge,zero,0.544,118400
2012-2013,00BC,Redbridge,zero,0.49,107900
2013-2014,00BC,Redbridge,zero,0.497,111000
2014-2015,00BC,Redbridge,zero,0.533,120800
2015-2016,00BC,Redbridge,zero,0.54,124200
2005-2006,00BD,Richmond Upon Thames,zero,0.418,63300
2007-2008,00BD,Richmond Upon Thames,zero,0.426,61600
2008-2009,00BD,Richmond Upon Thames,zero,0.43,62100
2009-2010,00BD,Richmond Upon Thames,zero,0.428,65100
2010-2011,00BD,Richmond Upon Thames,zero,0.389,59600
2011-2012,00BD,Richmond Upon Thames,zero,0.365,54800
2012-2013,00BD,Richmond Upon Thames,zero,0.368,55600
2013-2014,00BD,Richmond Upon Thames,zero,0.366,55800
2014-2015,00BD,Richmond Upon Thames,zero,0.372,57200
2015-2016,00BD,Richmond Upon Thames,zero,0.418,64800
2005-2006,00BE,Southwark,zero,0.561,117000
2007-2008,00BE,Southwark,zero,0.515,116100
2008-2009,00BE,Southwark,zero,0.481,109800
2009-2010,00BE,Southwark,zero,0.484,114000
2010-2011,00BE,Southwark,zero,0.494,117000
2011-2012,00BE,Southwark,zero,0.459,107800
2012-2013,00BE,Southwark,zero,0.493,117800
2013-2014,00BE,Southwark,zero,0.52,126700
2014-2015,00BE,Southwark,zero,0.527,130000
2015-2016,00BE,Southwark,zero,0.545,137500
2005-2006,00BF,Sutton,zero,0.53,74900
2007-2008,00BF,Sutton,zero,0.441,65600
2008-2009,00BF,Sutton,zero,0.523,78500
2009-2010,00BF,Sutton,zero,0.49,75400
2010-2011,00BF,Sutton,zero,0.435,67600
2011-2012,00BF,Sutton,zero,0.524,80000
2012-2013,00BF,Sutton,zero,0.481,74400
2013-2014,00BF,Sutton,zero,0.539,84300
2014-2015,00BF,Sutton,zero,0.538,85100
2015-2016,00BF,Sutton,zero,0.521,82900
2005-2006,00BG,Tower Hamlets,zero,0.56,94300
2007-2008,00BG,Tower Hamlets,zero,0.524,89700
2008-2009,00BG,Tower Hamlets,zero,0.55,97000
2009-2010,00BG,Tower Hamlets,zero,0.508,95900
2010-2011,00BG,Tower Hamlets,zero,0.496,94500
2011-2012,00BG,Tower Hamlets,zero,0.517,106200
2012-2013,00BG,Tower Hamlets,zero,0.512,107900
2013-2014,00BG,Tower Hamlets,zero,0.505,110200
2014-2015,00BG,Tower Hamlets,zero,0.524,119000
2015-2016,00BG,Tower Hamlets,zero,0.495,117000
2005-2006,00BH,Waltham Forest,zero,0.571,101300
2007-2008,00BH,Waltham Forest,zero,0.56,98100
2008-2009,00BH,Waltham Forest,zero,0.565,99000
2009-2010,00BH,Waltham Forest,zero,0.56,98300
2010-2011,00BH,Waltham Forest,zero,0.498,88200
2011-2012,00BH,Waltham Forest,zero,0.486,99300
2012-2013,00BH,Waltham Forest,zero,0.537,110600
2013-2014,00BH,Waltham Forest,zero,0.514,107100
2014-2015,00BH,Waltham Forest,zero,0.544,114100
2015-2016,00BH,Waltham Forest,zero,0.501,106600
2005-2006,00BJ,Wandsworth,zero,0.443,105400
2007-2008,00BJ,Wandsworth,zero,0.365,86900
2008-2009,00BJ,Wandsworth,zero,0.44,105200
2009-2010,00BJ,Wandsworth,zero,0.39,93500
2010-2011,00BJ,Wandsworth,zero,0.398,96000
2011-2012,00BJ,Wandsworth,zero,0.455,116500
2012-2013,00BJ,Wandsworth,zero,0.402,102900
2013-2014,00BJ,Wandsworth,zero,0.432,111200
2014-2015,00BJ,Wandsworth,zero,0.335,86200
2015-2016,00BJ,Wandsworth,zero,0.462,119800
2005-2006,00BK,Westminster,zero,0.482,102500
2007-2008,00BK,Westminster,zero,0.457,93000
2008-2009,00BK,Westminster,zero,0.45,92400
2009-2010,00BK,Westminster,zero,0.428,93000
2010-2011,00BK,Westminster,zero,0.44,96700
2011-2012,00BK,Westminster,zero,0.42,78400
2012-2013,00BK,Westminster,zero,0.457,86600
2013-2014,00BK,Westminster,zero,0.476,91100
2014-2015,00BK,Westminster,zero,0.455,89400
2015-2016,00BK,Westminster,zero,0.441,90100
