date,time,gender,session,medal_ceremony,code,AA,A,B,C,D,E,limit,venue,event
10-Aug,19:00–21:40,M,4 x 400m Relay: final,,AT014,725,420,295,125,50,–,4,Olympic Park - Olympic Stadium,Athletics
10-Aug,19:00–21:40,M,Pole Vault: final,,AT014,725,420,295,125,50,–,4,Olympic Park - Olympic Stadium,Athletics
10-Aug,19:00–21:40,M,Decathlon: victory ceremony,Y,AT014,725,420,295,125,50,–,4,Olympic Park - Olympic Stadium,Athletics
10-Aug,19:00–21:40,W,1500m: final,,AT014,725,420,295,125,50,–,4,Olympic Park - Olympic Stadium,Athletics
10-Aug,19:00–21:40,W,5000m: final; victory ceremony,Y,AT014,725,420,295,125,50,–,4,Olympic Park - Olympic Stadium,Athletics
10-Aug,19:00–21:40,W,4 x 100m Relay: final; victory ceremony,Y,AT014,725,420,295,125,50,–,4,Olympic Park - Olympic Stadium,Athletics
10-Aug,19:00–21:40,W,4 x 400m Relay: round 1,,AT014,725,420,295,125,50,–,4,Olympic Park - Olympic Stadium,Athletics
10-Aug,19:00–21:40,W,Hammer: final; victory ceremony,Y,AT014,725,420,295,125,50,–,4,Olympic Park - Olympic Stadium,Athletics
10-Aug,19:00–21:40,W,Javelin: victory ceremony,Y,AT014,725,420,295,125,50,–,4,Olympic Park - Olympic Stadium,Athletics
11-Aug,18:45–21:30,M,5000m: final; victory ceremony,Y,AT015,725,420,295,125,50,–,4,Olympic Park - Olympic Stadium,Athletics
11-Aug,18:45–21:30,M,4 x 100m Relay: final; victory ceremony,Y,AT015,725,420,295,125,50,–,4,Olympic Park - Olympic Stadium,Athletics
11-Aug,18:45–21:30,M,4 x 400m Relay: victory ceremony,Y,AT015,725,420,295,125,50,–,4,Olympic Park - Olympic Stadium,Athletics
11-Aug,18:45–21:30,M,Pole Vault: victory ceremony,Y,AT015,725,420,295,125,50,–,4,Olympic Park - Olympic Stadium,Athletics
11-Aug,18:45–21:30,M,Javelin: final; victory ceremony,Y,AT015,725,420,295,125,50,–,4,Olympic Park - Olympic Stadium,Athletics
11-Aug,18:45–21:30,M,50km Race Walk: victory ceremony,Y,AT015,725,420,295,125,50,–,4,Olympic Park - Olympic Stadium,Athletics
11-Aug,18:45–21:30,W,800m: final; victory ceremony,Y,AT015,725,420,295,125,50,–,4,Olympic Park - Olympic Stadium,Athletics
11-Aug,18:45–21:30,W,4 x 400m Relay: final; victory ceremony,Y,AT015,725,420,295,125,50,–,4,Olympic Park - Olympic Stadium,Athletics
11-Aug,18:45–21:30,W,High Jump: final; victory ceremony,Y,AT015,725,420,295,125,50,–,4,Olympic Park - Olympic Stadium,Athletics
11-Aug,18:45–21:30,W,Hammer: victory ceremony,Y,AT015,725,420,295,125,50,–,4,Olympic Park - Olympic Stadium,Athletics
11-Aug,18:45–21:30,W,20km Race Walk: victory ceremony,Y,AT015,725,420,295,125,50,–,4,Olympic Park - Olympic Stadium,Athletics
05-Aug,11:00–14:00,W,Marathon,Y,AM001,–,50,30,20,–,–,10,The Mall,Marathon
12-Aug,11:00–13:40,M,Marathon,Y,AM002,–,50,30,20,–,–,10,The Mall,Marathon
04-Aug,17:00–18:30,M,20km Race Walk,Y,AW001,–,30,20,–,–,–,10,The Mall,Race Walk
11-Aug,09:00–13:20,M,50km Race Walk,Y,AW002,–,30,20,–,–,–,10,The Mall,Race Walk
11-Aug,17:00–18:45,W,20km Race Walk,Y,AW003,–,30,20,–,–,–,10,The Mall,Race Walk
28-Jul,08:30–11:00,M,Singles; Doubles: preliminaries,,BD001,–,75,50,35,20,–,20,Wembley Arena,Badminton
28-Jul,08:30–11:00,W,Singles; Doubles: preliminaries,,BD001,–,75,50,35,20,–,20,Wembley Arena,Badminton
28-Jul,08:30–11:00,M/W,Mixed Doubles: preliminaries,,BD001,–,75,50,35,20,–,20,Wembley Arena,Badminton
28-Jul,12:30–17:00,M,Singles; Doubles: preliminaries,,BD002,–,75,50,35,20,–,20,Wembley Arena,Badminton
28-Jul,12:30–17:00,W,Singles; Doubles: preliminaries,,BD002,–,75,50,35,20,–,20,Wembley Arena,Badminton
28-Jul,12:30–17:00,M/W,Mixed Doubles: preliminaries,,BD002,–,75,50,35,20,–,20,Wembley Arena,Badminton
28-Jul,18:30–23:00,M,Singles; Doubles: preliminaries,,BD003,–,75,50,35,20,–,6,Wembley Arena,Badminton
28-Jul,18:30–23:00,W,Singles; Doubles: preliminaries,,BD003,–,75,50,35,20,–,6,Wembley Arena,Badminton
28-Jul,18:30–23:00,M/W,Mixed Doubles: preliminaries,,BD003,–,75,50,35,20,–,6,Wembley Arena,Badminton
29-Jul,08:30–11:00,M,Singles; Doubles: preliminaries,,BD004,–,75,50,35,20,–,20,Wembley Arena,Badminton
29-Jul,08:30–11:00,W,Singles; Doubles: preliminaries,,BD004,–,75,50,35,20,–,20,Wembley Arena,Badminton
29-Jul,08:30–11:00,M/W,Mixed Doubles: preliminaries,,BD004,–,75,50,35,20,–,20,Wembley Arena,Badminton
29-Jul,12:30–17:00,M,Singles; Doubles: preliminaries,,BD005,–,75,50,35,20,–,20,Wembley Arena,Badminton
29-Jul,12:30–17:00,W,Singles; Doubles: preliminaries,,BD005,–,75,50,35,20,–,20,Wembley Arena,Badminton
29-Jul,12:30–17:00,M/W,Mixed Doubles: preliminaries,,BD005,–,75,50,35,20,–,20,Wembley Arena,Badminton
29-Jul,18:30–23:00,M,Singles; Doubles: preliminaries,,BD006,–,75,50,35,20,–,6,Wembley Arena,Badminton
29-Jul,18:30–23:00,W,Singles; Doubles: preliminaries,,BD006,–,75,50,35,20,–,6,Wembley Arena,Badminton
29-Jul,18:30–23:00,M/W,Mixed Doubles: preliminaries,,BD006,–,75,50,35,20,–,6,Wembley Arena,Badminton
30-Jul,08:30–11:00,M,Singles; Doubles: preliminaries,,BD007,–,75,50,35,20,–,20,Wembley Arena,Badminton
30-Jul,08:30–11:00,W,Singles; Doubles: preliminaries,,BD007,–,75,50,35,20,–,20,Wembley Arena,Badminton
30-Jul,08:30–11:00,M/W,Mixed Doubles: preliminaries,,BD007,–,75,50,35,20,–,20,Wembley Arena,Badminton
30-Jul,12:30–17:00,M,Singles; Doubles: preliminaries,,BD008,–,75,50,35,20,–,20,Wembley Arena,Badminton
30-Jul,12:30–17:00,W,Singles; Doubles: preliminaries,,BD008,–,75,50,35,20,–,20,Wembley Arena,Badminton
30-Jul,12:30–17:00,M/W,Mixed Doubles: preliminaries,,BD008,–,75,50,35,20,–,20,Wembley Arena,Badminton
30-Jul,18:30–23:00,M,Singles; Doubles: preliminaries,,BD009,–,75,50,35,20,–,6,Wembley Arena,Badminton
30-Jul,18:30–23:00,W,Singles; Doubles: preliminaries,,BD009,–,75,50,35,20,–,6,Wembley Arena,Badminton
30-Jul,18:30–23:00,M/W,Mixed Doubles: preliminaries,,BD009,–,75,50,35,20,–,6,Wembley Arena,Badminton
31-Jul,08:30–11:00,M,Singles; Doubles: preliminaries,,BD010,–,75,50,35,20,–,20,Wembley Arena,Badminton
31-Jul,08:30–11:00,W,Singles; Doubles: preliminaries,,BD010,–,75,50,35,20,–,20,Wembley Arena,Badminton
31-Jul,08:30–11:00,M/W,Mixed Doubles: preliminaries,,BD010,–,75,50,35,20,–,20,Wembley Arena,Badminton
31-Jul,12:30–17:00,M,Singles; Doubles: preliminaries,,BD011,–,75,50,35,20,–,20,Wembley Arena,Badminton
31-Jul,12:30–17:00,W,Singles; Doubles: preliminaries,,BD011,–,75,50,35,20,–,20,Wembley Arena,Badminton
31-Jul,12:30–17:00,M/W,Mixed Doubles: preliminaries,,BD011,–,75,50,35,20,–,20,Wembley Arena,Badminton
31-Jul,18:30–23:00,M,Singles; Doubles: preliminaries,,BD012,–,75,50,35,20,–,6,Wembley Arena,Badminton
31-Jul,18:30–23:00,W,Singles; Doubles: preliminaries,,BD012,–,75,50,35,20,–,6,Wembley Arena,Badminton
31-Jul,18:30–23:00,M/W,Mixed Doubles: preliminaries,,BD012,–,75,50,35,20,–,6,Wembley Arena,Badminton
01-Aug,09:00–11:00,M,Singles: round of 16,,BD013,–,95,65,45,30,–,6,Wembley Arena,Badminton
01-Aug,09:00–11:00,W,Singles: round of 16,,BD013,–,95,65,45,30,–,6,Wembley Arena,Badminton
01-Aug,09:00–11:00,M/W,Mixed Doubles: quarter-finals,,BD013,–,95,65,45,30,–,6,Wembley Arena,Badminton
01-Aug,12:30–15:30,M,Singles: round of 16,,BD014,–,95,65,45,30,–,6,Wembley Arena,Badminton
01-Aug,12:30–15:30,W,Singles: round of 16,,BD014,–,95,65,45,30,–,6,Wembley Arena,Badminton
01-Aug,12:30–15:30,M/W,Mixed Doubles: quarter-finals,,BD014,–,95,65,45,30,–,6,Wembley Arena,Badminton
01-Aug,17:00–21:00,M,Singles: round of 16,,BD015,–,95,65,45,30,–,6,Wembley Arena,Badminton
01-Aug,17:00–21:00,W,Singles: round of 16,,BD015,–,95,65,45,30,–,6,Wembley Arena,Badminton
01-Aug,17:00–21:00,W,Doubles: quarter-finals,,BD015,–,95,65,45,30,–,6,Wembley Arena,Badminton
02-Aug,09:00–11:00,M,Doubles: quarter-finals,,BD016,–,95,65,45,30,–,6,Wembley Arena,Badminton
02-Aug,12:30–15:30,W,Singles: quarter-finals,,BD017,–,95,65,45,30,–,6,Wembley Arena,Badminton
02-Aug,12:30–15:30,M/W,Mixed Doubles: semi-finals,,BD017,–,95,65,45,30,–,6,Wembley Arena,Badminton
02-Aug,17:00–20:00,M,Singles: quarter-finals,,BD018,–,95,65,45,30,–,6,Wembley Arena,Badminton
